Variable,Coefficient_Standardise
Pluviometrie_mm,45.8066545738479
Temperature_C,9.424507881644475
NDVI,9.272079497410678
Humidite_pct,4.446664237381318
Densite_Population,13.725965590179012
Couverture_Vaccinale_pct,-24.75504360442378
Tests_Realises,31.945799130617907
Distance_Centre_Sante_km,-11.358068888167697
Reservoirs_Animaux,-0.7520411062211417
Mobilite_Humaine,-0.4650868265525323
Population_Risque,0.3064274297471907
Province_Haut-Katanga,-8.210950574502672
Province_Haut-Lomami,-3.592942028842951
Province_Haut-Uele,-10.275100083524057
Province_Ituri,-5.082923197272281
Province_Kasaï,-7.5102463275742295
Province_Kasaï-Central,-8.544115735748628
Province_Kasaï-Oriental,-3.0430465908106457
Province_Kinshasa,-8.43879166167691
Province_Kongo Central,-1.7884867907569604
Province_Kwango,-8.283663327296562
Province_Kwilu,-1.6477740975337796
Province_Lomami,1.4142194440991869
Province_Lualaba,-2.9886041645600563
Province_Mai-Ndombe,-4.8274909549738085
Province_Maniema,-3.3091171270834776
Province_Mongala,-5.28113259334347
Province_Nord-Kivu,-6.619899994882224
Province_Nord-Ubangi,-4.983872268679297
Province_Sankuru,-10.614459143722994
Province_Sud-Kivu,-6.325098886465905
Province_Sud-Ubangi,-5.938292322203306
Province_Tanganyika,-1.6623045156182354
Province_Tshopo,-2.282152633655878
Province_Tshuapa,-7.059088065965161
Province_Équateur,-5.510681433397441
Saison_Seche,6.582573323751169
